smiles,name,effect
CN(CC=Cc1ccccc1)Cc1cccc2ccccc12,Naftifine,FDA_approved
COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,Esomeprazole,FDA_approved
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,Meclizine,FDA_approved
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,Pentamidine,FDA_approved
CC1(C)SC2C(N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2C1C(=O)O,Hetacillin,FDA_approved
Nc1nc2ccc(OC(F)(F)F)cc2s1,Riluzole,FDA_approved
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,Hydrocortisone,FDA_approved
OCC(O)C(O)C(O)C(O)CO,Mannitol,FDA_approved
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O.[Gd+3],Gadobenic acid,FDA_approved
CC(c1cc2ccccc2s1)N(O)C(N)=O,Zileuton,FDA_approved
NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,Modafinil,FDA_approved
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,Deferoxamine,FDA_approved
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,Scopolamine,FDA_approved
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,Carbinoxamine,FDA_approved
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,Etodolac,FDA_approved
C[n]1ncc(C(CC(CCC2)N2C(C2N(Cc3ccccc3)CCC2)=O)=O)c1,,none
NC[C@H](C[C@@H](C1)F)N1c1nccc2c1cc[o]2,,none
CC1(C)N(CCc(cc2)cc(F)c2F)CCNC1=O,,none
CC(C)(CC(CNC(Nc1cc(N2CCCCC2)ncc1)=O)CN1)C1=O,,none
CCN(CCNC(C(CC(C1)O)N1C(Cc(cccc1)c1F)=O)=O)c1c(C)cccc1,,none
Cc(ccnc1)c1NC(NC1CCCCC1)=O,,none
COCc1nc(CN(CCC2)c3c2c(C(O)=O)ccc3)c[s]1,,none
Cc1nc(-c2ccc(C)cc2)c(CC(NC(CN2CCOCC2)c2ccccc2)=O)[s]1,,none
Cc1c(CN(C)C(c(cc(c(N2)c3)OCC2=O)c3Br)=O)cncc1,,none
NC(C(C1)NCCN1c1nc(C2CCCC2)n[s]1)=O,,none
CC1N(Cc2ccc(CNC(NC3CC(C)OC(C)C3)=O)cc2)CCCC1,,none
CC(C(N1)=O)(c2cc(CNC(N(CCC3)C3c3nc(cc(C)cc4)c4[nH]3)=O)ccc2)NC1=O,,none
CC(C)(C)c1nc(C)c(C(NC(CN2CCOCC2)c2ccc(C)cc2)=O)[s]1,,none
C[C@H](c(ccc(OC)c1)c1OC)Nc1ncnc2c1cc[nH]2,,none
CN(CCN(C)C1CC1)Cc(cc1)cc(C(F)(F)F)c1Cl,,none
CC(CNC(N1Cc(cccc2)c2OC(C)(C)C1)=O)C#N,,none
Cc(cc1NC(CN(CCC2)CC22CCOCC2)=O)n[n]1-c1nc(C)cc(C)n1,,none
Cc1n[o]c(CN(CC2)CCC2c2nc(-c3ccncc3)c[s]2)n1,,none
C([C@@H]1[C@@H](c2ccccc2)OCC1)Nc1ncnc2c1cc[nH]2,,none
CCOC(c1c(C)c2c(N(CC3)CCN3C(C)(C)C(N)=O)nc(CN(C)C)nc2[s]1)=O,,none
O=C(C1(CC1)F)Nc(cc1)cc(F)c1-[n]1cncc1,,none
CC(CN(C)C(c1cnc(C2(CN)CCC2)cc1)=O)c(ccc(F)c1)c1F,,none
Cc1nc(C(N(CC2)CCN2c(cccc2)c2OC)=O)c[nH]1,,none
CC(C)CC(N(CC1)CC1Oc1cc(CNC(C(C2CC2)C2CC2)=O)ncc1)=O,,none
CC(C)c(nc1C)nc(Nc2c[n](CCO)nc2)c1Br,,none
C([C@H](CCC1)N1c1ncnc2c1cc[nH]2)Oc1ccccc1,,none
C[C@H](C1)O[C@@H](C)c2c1c(C(N1CCN(Cc(cc3)ccc3C#N)CC1)=O)n[nH]2,,none
C(C1COCC1)OC(CC1)CCN1c1ncnc2c1cc[nH]2,,none
Cc1cc(CN(CCC2)CCN2C(c2ccn[n]2C2CCC2)=O)n[o]1,,none
O=C(c(cc(cc1)S(NC(CCC2)C2c(cc2)ccc2Br)(=O)=O)c1N1)NC1=O,,none
COC(N(CC1N(CC2)Cc3c2cccc3)CC1O)=O,,none
Cc1c(C(N(CC2)CCN2c(ccc(C#N)c2)c2F)=O)[nH]c(C2CC2)n1,,none
C[C@H](c1cnccc1)NC(C(C)(C)COCc1ccccc1)=O,,none
Fc1ccc(COC(CC2)CCN2c2ncccc2)cc1,,none
CCS(c(cc1)cc(C(NC(CCNC2)C2F)=O)c1Cl)(=O)=O,,none
Nc1cccc(CNC(c2n[o]c(-c3cccc(F)c3F)c2)=O)n1,,none
CN(CC1)CC1(CC1)CN1C(NCc1nnc(-c2ccccc2)[s]1)=O,,none
OC(CC(Nc1c[nH]nc1-c1ncccc1)=O)C1CC1,,none
O=C(c1c[s]c2cnc[n]12)N(CCC1)CC1N(CCCC1)C1=O,,none
COc(cc1)ccc1-c1n[o]c(CN2C[C@H](CCC3)[C@H]3C2)n1,,none
COc(cc1)cc(CNC(NCc2cc(-[n]3cncc3)ncc2)=O)c1O,,none
COc(ncc(C(N(CC1)CCN1c1ncccc1)=O)c1)c1Cl,,none
CCNC(c1cc(NC(c(cc2)c[n]3c2ncc3)=O)c(C)cc1)=O,,none
Cc(ccnc1)c1NC(CNC(Cc1cnccc1)=O)=O,,none
O=C(NC1CC1)N(CCC1)CC1[n]1c(cccc2)c2nc1,,none
Clc1c(N2CCN(Cc3n[o]c4c3COCC4)CC2)nccc1,,none
O=C(C(C[C@@H](C1)C2)[C@H]1C2=O)N(CC1)CC=C1c1c[nH]c2c1cccc2,,none
CC(c1cc(cccc2)c2[s]1)NC(NCCC(CC1)CCN1c1ccncc1)=O,,none
CC(C)CN(C=CC=C1C(N(CC2)CCC2c2ncccc2)=O)C1=O,,none
O=C(CCc1ccccc1)N(CC1)CC1NC(c(cc1)ccc1-[n]1cncc1)=O,,none
O=C(NC1C2(CC2)CCC1)N(CC1)CCC1C1CC1,,none
CC(CC(C)C1)CN1C(NCc1cc(-[n]2cncc2)ncc1)=O,,none
Cc(c(C)c1)cc2c1[o]c(CNC1CCN(CC(O)=O)CC1)c2,,none
O=C(NCc(cc1)cnc1-[n]1cncc1)N1CC(c2cccc(F)c2)OCC1,,none
Cc1nnc(C2OCCN(Cc3cc(F)cc4cccnc34)C2)[o]1,,none
C[n]1c(CNC(Nc2cccc(OCC(F)F)n2)=O)cnc1,,none
Cc(cc1)cc2c1[n](C)c(CNC(C1(CCOCC1)c1cccc(F)c1)=O)n2,,none
Cc(cc1OC)c(CN(C)C(NCc(cc2)cnc2-[n]2cncc2)=O)cc1OC,,none
FC(CN1CC(CNc2nc(-c3cnccc3)nc3c2CCC3)CCC1)(F)F,,none
COc(ccc(F)c1)c1C(N(CC1)CCN1C(CO)c(cc1)ccc1Cl)=O,,none
CCc1nc(CC(NCc(cc2)cnc2-[n]2cncc2)=O)c[s]1,,none
Cc1nc(cccc2)c2[n]1CC(NOCC1CC1)=O,,none
CCC(Nc1nc(cccc2)c2[n]1C)=O,,none
O=C1N(Cc2nc(-c(cc3)c(C(F)(F)F)cc3F)n[o]2)CCNC1,,none
Cc1cc(C(N2CCN(CC(N3CCCCC3)=O)CC2)=O)c(C(F)(F)F)[o]1,,none
CCN(CCN(CC(Nc(cc1)cnc1N1CCCCC1)=O)C1)C1=O,,none
Cc1nc([nH]nc2)c2c(N(CC2)C[C@H]2F)n1,,none
CCc1nc(CN(CC2)CCN2C(c2nccnc2N)=O)c[s]1,,none
O=C(CN1CC2(CCC2)OCC1)N(C1)c(cccc2)c2NC1=O,,none
Cc1c(CCCN(C2)CC(NC(N3)=O)=C2C3=O)cccc1,,none
CCC(CN(CC[n]1nccc1)CC1)N1c1nc(ccc(F)c2)c2[o]1,,none
CC(c1ncccn1)N(CC1)CCN1S(Cc1n[o]cc1)(=O)=O,,none
Cc1c(C(NCC2CC2)=O)c(C)nc2ccccc12,,none
COc1cccc(C2(CC2)C(NCc2ncc[n]2-c2ccccc2)=O)c1,,none
CCC(C)NC(c1cccc(CNc([n](C)c2ccc3)nc2c3F)c1)=O,,none
O=C(CN(CC1)CCN1C(C(CC1)Cc2c1cn[nH]2)=O)NC1CCCCC1,,none
COc(cccc1)c1Oc1ccc(CNC(N(CC2)CC3N2CCOC3)=O)cc1,,none
CC(C)(C)c1nnc(CN2C(Cc(cc3)ccc3F)CCC2)[o]1,,none
O=C(C(N1CCC(Cc2cnccc2)CC1)=O)NCC(CC1)CN1c1ccccc1,,none
O=C(Cc1nnc(-c2ccccc2)[o]1)N(CC1)CCN1c1ncccc1,,none
CC(N(CC1)C2(CCCCC2)CN1C(c1cc(F)cc2nc(C)c(C)nc12)=O)=O,,none
CNC(c1cccnc1NC(CC1)CCC1C(F)(F)F)=O,,none
O=C(Cc1c[s]c(-c2cnccc2)n1)NCc(cc1)cnc1-[n]1cncc1,,none
CCOc1cc(CN(CC2)CC(C)CS2=O)nc2nc(C(F)(F)F)n[n]12,,none
CC[n]1nccc1C(C)NCc1n[n](C)nn1,,none
O=C(c1c(CCCC2)c2n[nH]1)N(CC1)CCN1S(c1cc2ccccc2cc1)(=O)=O,,none
OCCC(CNC(C(Cc1cc(F)c2)Oc1c2F)=O)c1ccncc1,,none
C(c1ccncc1)Nc1c2[s]ccc2ncn1,,none
CO[C@H](C1)CN(CCc(cc2)cc3c2OCC3)[C@@H]1c1nnc2[n]1CCC2,,none
CC(C)N(C)Cc1c[n]([C@H](C)c2ncccc2)nn1,,none
O=C(c1cccc(Oc2cccc(C(F)(F)F)c2)c1)NCCN1CCOCC1,,none
CC(C1CC1)(C(N1CC(NCc2c(-[n]3cncc3)nccc2)=O)=O)NC1=O,,none
Cc1n[n](CC(F)(F)F)cc1C(NCc(cc1)cnc1-[n]1cncc1)=O,,none
CCc1c[nH]c2c1c(NC[C@@H](CCC1)N1S(C)(=O)=O)ncn2,,none
O=C(c1cc(F)cc2nccnc12)N(CC1)CCN1c1nccnc1,,none
COc1cccc(N(CC2)CCN2C(c2cc3ccc[n]3cn2)=O)c1,,none
Cc1cc(N[C@H](CC2)CN2C(N(C)C(N2C)=O)=CC2=O)nc(-c2cnccc2)n1,,none
Cc1cc(C2(CC2)C(Nc2n[n](CCc3ccncc3)cc2)=O)cc(C)c1,,none
CCc1c(C(NCC(c2ccc(C)[o]2)N2CCOCC2)=O)[n](cc(cc2)Cl)c2n1,,none
CC(C)(C(CN(C)C)CC1)N1C(Nc1cc(C2(CCC2)C(OC)=O)ccc1)=O,,none
C(c1ncccc1)Nc1cc2ccccc2nc1,,none
CCC1N(Cc(cc(cc2)-c3n[nH]nn3)c2F)CCOCC1,,none
CNC(c1ccc(CN(CCC2)CCS2(=O)=O)cc1)=O,,none
O=C(C(CCC1)N1C(CC1)CS1(=O)=O)N1CCCC1,,none
O=C(C1=Cc(cc(cc2)Br)c2OC1=O)Nc(cccc1)c1Cl,,none
Cc1cc(OC)nc(N(C2)CC2(c2ccccc2)O)n1,,none
O=C(CCN(C(C1C2C3OC1CC3)=O)C2=O)N(Cc1ccncc1)C1CC1,,none
CC(c(cc(c(OC)c1)OC)c1F)NC(NCc(cc1)cnc1-[n]1cncc1)=O,,none
OCc1nc(N2CCN(CC3CCCCC3)CC2)ncc1,,none
CC[C@@H](c1ccccc1)NC(N(CC1)CC2(CCCCC2)N1C(C)=O)=O,,none
C[n]1ncc(-c2n[nH]cc2C(NCC2CN(CC(F)(F)F)CC2)=O)c1,,none
CC(N1CCN(Cc2ccc(-c(cc3)ccc3Cl)[o]2)CC1)=O,,none
CNC(c1cccc(CN(CCC2)CCS2(=O)=O)c1)=O,,none
CC(Nc1ccn[n]11)=C(CC(NC2c(cccc3)c3OCCC2)=O)C1=O,,none
Cc1nnc(C2CCN(CC(Nc3ccn[n]33)=CC3=O)CC2)[o]1,,none
Cc1nc(-c2cccc(NC(C3(CC4)CN4CC3)=O)c2)n[nH]1,,none
O=C(c1c[nH]c(C2CC2)n1)N(CC1)CCC1c1c[nH]nc1,,none
CN(Cc1c[nH]cn1)C(c1cc(cc(cc2)Br)c2[nH]1)=O,,none
Cc1c(-c(cc2)ccc2Cl)[o]c(CN(CCC2)CC2N(CCN2)C2=O)n1,,none
O=C(C1CC1)NCCc1cc2cccnc2cc1,,none
Nc(cc1)nc2c1[nH]c(Cc(cc1)ccc1Cl)n2,,none
CC[C@@H](c1cc(F)c(C)cc1)NC(NCCC(N(CC1)CCN1c1ncccc1)=O)=O,,none
O=C(CN(CC1)C1c(cc1)ccc1F)Nc1nc(CCC2)c2[s]1,,none
